Postleitzahl / Code Postal / Codice Postale,Ort / Ville / Città,Kanton,Abkürzung / Abréviation / Abbreviazione,Land,,,,,,,,,,
1000,Lausanne,Waadt,VD,Schweiz,,,,,,,,,,
1003,Lausanne,Waadt,VD,Schweiz,,,,,,,,,,
1004,Lausanne,Waadt,VD,Schweiz,,,,,,,,,,
1005,Lausanne,Waadt,VD,Schweiz,,,,,,,,,,
1006,Lausanne,Waadt,VD,Schweiz,,,,,,,,,,
1007,Lausanne,Waadt,VD,Schweiz,,,,,,,,,,
1008,Jouxtens-Mézery,Waadt,VD,Schweiz,,,,,,,,,,
1008,Prilly,Waadt,VD,Schweiz,,,,,,,,,,
1009,Pully,Waadt,VD,Schweiz,,,,,,,,,,
1010,Lausanne,Waadt,VD,Schweiz,,,,,,,,,,
1011,Lausanne,Waadt,VD,Schweiz,,,,,,,,,,
1012,Lausanne,Waadt,VD,Schweiz,,,,,,,,,,
1015,Lausanne,Waadt,VD,Schweiz,,,,,,,,,,
1018,Lausanne,Waadt,VD,Schweiz,,,,,,,,,,
1020,Renens VD,Waadt,VD,Schweiz,,,,,,,,,,
1022,Chavannes-près-Renens,Waadt,VD,Schweiz,,,,,,,,,,
1023,Crissier,Waadt,VD,Schweiz,,,,,,,,,,
1024,Ecublens VD,Waadt,VD,Schweiz,,,,,,,,,,
1025,St-Sulpice VD,Waadt,VD,Schweiz,,,,,,,,,,
1026,Denges,Waadt,VD,Schweiz,,,,,,,,,,
1026,Echandens,Waadt,VD,Schweiz,,,,,,,,,,
1027,Lonay,Waadt,VD,Schweiz,,,,,,,,,,
1028,Préverenges,Waadt,VD,Schweiz,,,,,,,,,,
1029,Villars-Ste-Croix,Waadt,VD,Schweiz,,,,,,,,,,
1030,Bussigny-près-Lausanne,Waadt,VD,Schweiz,,,,,,,,,,
1031,Mex VD,Waadt,VD,Schweiz,,,,,,,,,,
1032,Romanel-sur-Lausanne,Waadt,VD,Schweiz,,,,,,,,,,
1033,Cheseaux-sur-Lausanne,Waadt,VD,Schweiz,,,,,,,,,,
1034,Boussens,Waadt,VD,Schweiz,,,,,,,,,,
1035,Bournens,Waadt,VD,Schweiz,,,,,,,,,,
1036,Sullens,Waadt,VD,Schweiz,,,,,,,,,,
1037,Etagnières,Waadt,VD,Schweiz,,,,,,,,,,
1038,Bercher,Waadt,VD,Schweiz,,,,,,,,,,
1040,St-Barthélemy VD,Waadt,VD,Schweiz,,,,,,,,,,
1040,Villars-le-Terroir,Waadt,VD,Schweiz,,,,,,,,,,
1040,Echallens,Waadt,VD,Schweiz,,,,,,,,,,
1041,Dommartin,Waadt,VD,Schweiz,,,,,,,,,,
1041,Poliez-Pittet,Waadt,VD,Schweiz,,,,,,,,,,
1041,Bottens,Waadt,VD,Schweiz,,,,,,,,,,
1041,Naz,Waadt,VD,Schweiz,,,,,,,,,,
1041,Montaubion-Chardonney,Waadt,VD,Schweiz,,,,,,,,,,
1041,Poliez-le-Grand,Waadt,VD,Schweiz,,,,,,,,,,
1042,Bettens,Waadt,VD,Schweiz,,,,,,,,,,
1042,Bioley-Orjulaz,Waadt,VD,Schweiz,,,,,,,,,,
1042,Assens,Waadt,VD,Schweiz,,,,,,,,,,
1043,Sugnens,Waadt,VD,Schweiz,,,,,,,,,,
1044,Fey,Waadt,VD,Schweiz,,,,,,,,,,
1045,Ogens,Waadt,VD,Schweiz,,,,,,,,,,
1046,Rueyres,Waadt,VD,Schweiz,,,,,,,,,,
1047,Oppens,Waadt,VD,Schweiz,,,,,,,,,,
1052,Le Mont-sur-Lausanne,Waadt,VD,Schweiz,,,,,,,,,,
1053,Bretigny-sur-Morrens,Waadt,VD,Schweiz,,,,,,,,,,
1053,Cugy VD,Waadt,VD,Schweiz,,,,,,,,,,
1054,Morrens VD,Waadt,VD,Schweiz,,,,,,,,,,
1055,Froideville,Waadt,VD,Schweiz,,,,,,,,,,
1058,Villars-Tiercelin,Waadt,VD,Schweiz,,,,,,,,,,
1059,Peney-le-Jorat,Waadt,VD,Schweiz,,,,,,,,,,
1061,Villars-Mendraz,Waadt,VD,Schweiz,,,,,,,,,,
1062,Sottens,Waadt,VD,Schweiz,,,,,,,,,,
1063,Peyres-Possens,Waadt,VD,Schweiz,,,,,,,,,,
1063,Boulens,Waadt,VD,Schweiz,,,,,,,,,,
1063,Chapelle-sur-Moudon,Waadt,VD,Schweiz,,,,,,,,,,
1063,Martherenges,Waadt,VD,Schweiz,,,,,,,,,,
1066,Epalinges,Waadt,VD,Schweiz,,,,,,,,,,
1068,Les Monts-de-Pully,Waadt,VD,Schweiz,,,,,,,,,,
1070,Puidoux,Waadt,VD,Schweiz,,,,,,,,,,
1071,Rivaz,Waadt,VD,Schweiz,,,,,,,,,,
1071,St-Saphorin (Lavaux),Waadt,VD,Schweiz,,,,,,,,,,
1071,Chexbres,Waadt,VD,Schweiz,,,,,,,,,,
1072,Forel (Lavaux),Waadt,VD,Schweiz,,,,,,,,,,
1073,Mollie-Margot,Waadt,VD,Schweiz,,,,,,,,,,
1073,Savigny,Waadt,VD,Schweiz,,,,,,,,,,
1076,Ferlens VD,Waadt,VD,Schweiz,,,,,,,,,,
1077,Servion,Waadt,VD,Schweiz,,,,,,,,,,
1078,Essertes,Waadt,VD,Schweiz,,,,,,,,,,
1080,Les Cullayes,Waadt,VD,Schweiz,,,,,,,,,,
1081,Montpreveyres,Waadt,VD,Schweiz,,,,,,,,,,
1082,Corcelles-le-Jorat,Waadt,VD,Schweiz,,,,,,,,,,
1083,Mézières VD,Waadt,VD,Schweiz,,,,,,,,,,
1084,Carrouge VD,Waadt,VD,Schweiz,,,,,,,,,,
1085,Vulliens,Waadt,VD,Schweiz,,,,,,,,,,
1088,Ropraz,Waadt,VD,Schweiz,,,,,,,,,,
1090,La Croix (Lutry),Waadt,VD,Schweiz,,,,,,,,,,
1091,Aran,Waadt,VD,Schweiz,,,,,,,,,,
1091,Chenaux,Waadt,VD,Schweiz,,,,,,,,,,
1091,Grandvaux,Waadt,VD,Schweiz,,,,,,,,,,
1092,Belmont-sur-Lausanne,Waadt,VD,Schweiz,,,,,,,,,,
1093,La Conversion,Waadt,VD,Schweiz,,,,,,,,,,
